id,user_id,plan_name,plan_type,status,start_date,end_date,monthly_cost,annual_cost,features,usage_limits,current_usage,auto_renew,payment_method,next_billing_date
1,1,Professional Plan,Monthly,Active,2024-01-01,2024-12-31,199.99,1999.99,"Advanced Analytics, Priority Support, API Access","Print Jobs: 1000/month, Storage: 100GB, Users: 10","{""print_jobs"": 245, ""storage_gb"": 67.5, ""users"": 8}",true,Credit Card,2024-02-01
2,2,Enterprise Plan,Annual,Active,2023-06-15,2024-06-14,499.99,4999.99,"Full Analytics Suite, 24/7 Support, Custom Integration","Print Jobs: Unlimited, Storage: 1TB, Users: 50","{""print_jobs"": 1250, ""storage_gb"": 456.2, ""users"": 28}",true,Bank Transfer,2024-06-15
3,3,Basic Plan,Monthly,Active,2024-01-15,2024-12-31,49.99,499.99,"Standard Features, Email Support","Print Jobs: 100/month, Storage: 10GB, Users: 3","{""print_jobs"": 78, ""storage_gb"": 8.9, ""users"": 3}",true,Credit Card,2024-02-15
4,4,Professional Plan,Monthly,Active,2023-11-20,2024-11-19,199.99,1999.99,"Advanced Analytics, Priority Support, API Access","Print Jobs: 1000/month, Storage: 100GB, Users: 10","{""print_jobs"": 567, ""storage_gb"": 89.4, ""users"": 7}",false,PayPal,2024-02-20
5,5,Basic Plan,Monthly,Expired,2023-12-01,2023-12-31,49.99,499.99,"Standard Features, Email Support","Print Jobs: 100/month, Storage: 10GB, Users: 3","{""print_jobs"": 95, ""storage_gb"": 9.8, ""users"": 2}",false,Credit Card,
6,6,Professional Plan,Annual,Active,2023-03-10,2024-03-09,199.99,1799.99,"Advanced Analytics, Priority Support, API Access","Print Jobs: 1000/month, Storage: 100GB, Users: 10","{""print_jobs"": 432, ""storage_gb"": 78.6, ""users"": 9}",true,Bank Transfer,2024-03-10
7,7,Enterprise Plan,Annual,Suspended,2023-08-05,2024-08-04,499.99,4999.99,"Full Analytics Suite, 24/7 Support, Custom Integration","Print Jobs: Unlimited, Storage: 1TB, Users: 50","{""print_jobs"": 890, ""storage_gb"": 234.7, ""users"": 15}",false,Credit Card,
8,8,Professional Plan,Monthly,Active,2023-12-15,2024-12-14,199.99,1999.99,"Advanced Analytics, Priority Support, API Access","Print Jobs: 1000/month, Storage: 100GB, Users: 10","{""print_jobs"": 356, ""storage_gb"": 92.3, ""users"": 6}",true,Credit Card,2024-02-15
9,9,Basic Plan,Monthly,Active,2024-01-10,2024-12-31,49.99,499.99,"Standard Features, Email Support","Print Jobs: 100/month, Storage: 10GB, Users: 3","{""print_jobs"": 23, ""storage_gb"": 3.4, ""users"": 1}",true,PayPal,2024-02-10
10,10,Professional Plan,Monthly,Trial,2024-01-15,2024-02-14,0.00,1999.99,"Advanced Analytics, Priority Support, API Access","Print Jobs: 50/month, Storage: 25GB, Users: 5","{""print_jobs"": 12, ""storage_gb"": 5.7, ""users"": 3}",false,None,2024-02-14
