id,name,description,contact_email,contact_phone,address,city,state,country,postal_code,website,industry,partnership_type,status,contract_start,contract_end,revenue_share,products_count,last_contact,notes
1,TechCorp Industries,Leading manufacturer of automotive components,partnerships@techcorp.com,+1-555-0201,"1200 Industrial Blvd",Detroit,MI,USA,48201,www.techcorp.com,Automotive,Manufacturing Partner,Active,2023-01-15,2026-01-14,15.5,5,2024-01-15,Strong partnership in automotive sector
2,MedDevice Solutions,Specialized medical device manufacturing,contact@meddevice.com,+1-555-0202,"450 Medical Center Dr",Boston,MA,USA,02101,www.meddevice.com,Medical,Technology Partner,Active,2023-03-20,2025-03-19,20.0,3,2024-01-10,FDA expertise valuable for medical products
3,AeroSpace Dynamics,Aerospace component manufacturing leader,info@aerodynamics.com,+1-555-0203,"800 Aviation Way",Seattle,WA,USA,98101,www.aerodynamics.com,Aerospace,Strategic Partner,Active,2023-02-10,2027-02-09,18.0,4,2024-01-12,Critical for aerospace certifications
4,ElectroTech Global,Consumer electronics manufacturing,sales@electrotech.com,+1-555-0204,"2500 Technology Park",San Jose,CA,USA,95101,www.electrotech.com,Electronics,Manufacturing Partner,Active,2023-04-05,2025-04-04,12.0,6,2024-01-08,High volume electronics production
5,Precision Tools Inc,Industrial tooling and equipment supplier,orders@precisiontools.com,+1-555-0205,"300 Industrial Ave",Milwaukee,WI,USA,53201,www.precisiontools.com,Industrial,Supplier Partner,Active,2023-05-12,2024-05-11,10.0,2,2024-01-14,Contract renewal pending
6,Luxury Craft Co,High-end jewelry and luxury goods,craft@luxurycraft.com,+1-555-0206,"150 Artisan Street",New York,NY,USA,10001,www.luxurycraft.com,Jewelry,Design Partner,Active,2023-06-08,2026-06-07,25.0,1,2024-01-11,Premium market focus
7,DroneWorks Systems,UAV and drone technology manufacturer,business@droneworks.com,+1-555-0207,"700 Flight Path Rd",Austin,TX,USA,78701,www.droneworks.com,Aerospace,Technology Partner,Active,2023-07-22,2025-07-21,22.0,2,2024-01-13,Rapid growth in UAV market
8,EduTech Learning,Educational technology and materials,partnerships@edutech.com,+1-555-0208,"950 Campus Drive",Atlanta,GA,USA,30301,www.edutech.com,Education,Distribution Partner,Active,2023-08-14,2024-08-13,8.0,3,2024-01-09,Educational market penetration
9,Industrial Valve Corp,Valve and fluid control systems,sales@indvalve.com,+1-555-0209,"600 Manufacturing Rd",Houston,TX,USA,77001,www.indvalve.com,Industrial,Manufacturing Partner,Under Review,2023-09-30,2024-09-29,16.0,1,2024-01-05,Performance review in progress
10,Smart Sensors Ltd,Advanced sensor technology company,info@smartsensors.com,+1-555-0210,"1100 Innovation Blvd",Portland,OR,USA,97201,www.smartsensors.com,Technology,Research Partner,Active,2023-10-18,2026-10-17,14.0,2,2024-01-16,Cutting-edge sensor integration
